id;start_date;end_date;language
1;2019-08-07T03:58:53;2019-08-06T21:07:10;FRENCH
2;2019-08-07T05:28:59;2019-08-06T14:35:09;FRENCH
3;2019-08-07T01:01:03;2019-08-06T16:25:03;SPANISH
4;2019-08-06T14:12:55;2019-08-06T21:39:56;FRENCH
5;2019-08-06T23:11:34;2019-08-07T03:55:42;FRENCH
6;2019-08-07T05:28:34;2019-08-07T06:45:30;ENGLISH
7;2019-08-06T14:50:54;2019-08-07T03:31:41;ENGLISH
8;2019-08-06T12:22:13;2019-08-06T20:22:22;SPANISH
9;2019-08-06T22:10:19;2019-08-07T06:34:57;SPANISH
10;2019-08-07T01:28:28;2019-08-06T22:44:43;FRENCH
